"2026/03信用卡對帳單"
"
"
"帳單資訊"
"繳款截止日 2026 / 04 / 02"
"
"
"2026年3月新臺幣應繳總金額"
"TWD 140,600"
"
"
"最低應繳總金額","本期帳單未付金額","本期帳單已繳金額","帳單結帳日"
"TWD 19,478","TWD 140,600","TWD 0","2026/03/17"
"
"
"應繳總金額計算"
"上期帳單總額","繳款金額","本期帳單/退款/調整","本期/分期預借金額","循環利息","餘額代償利息","本期應繳總額"
"TWD 184,103","TWD 443,334","TWD 399,831","TWD 0","TWD 0","TWD 0","TWD 140,600"
"
"
"
"
"我的額度/循環利率"
"信用額度","適用期限","循環年利率","國內預借現金額度","國外預借現金額度"
"TWD 200,000","2026/06","10.75%","TWD 20,000","TWD 200,000"
"
"
"
"
"帳單明細"
"新臺幣"
"消費日","交易說明","新臺幣金額","卡號/行動末四碼","消費國家/幣別","消費金額","入帳起息日","折算日"
"−","上期帳單總額","184,103","−","−","−","−","−"
"02/24","ＣＵＢＥＡｐｐ轉帳繳款","-184,103","−","−","−","02/24","−"
"03/06","ＣＵＢＥＡｐｐ轉帳繳款","-118,888","−","−","−","03/09","−"
"03/07","ＣＵＢＥＡｐｐ轉帳繳款","-20,343","−","−","−","03/09","−"
"03/09","ＣＵＢＥＡｐｐ轉帳繳款","-70,000","−","−","−","03/10","−"
"03/15","ＣＵＢＥＡｐｐ轉帳繳款","-50,000","−","−","−","03/16","−"
"
"
"02/11","優食－蛋白盒子健康餐盒","526","2896 / 9963","TW / TWD","−","02/23","−"
"02/12","優食－杉盒便當製所忠","850","2896 / 9963","TW / TWD","−","02/23","−"
"02/12","國外交易手續費 -E8Fun","55","2896","−","−","03/17","−"
"02/12","E8 Funding LLC","3,672","2896","US / USD","117.00","02/23","02/12"
"02/12","優步－中華大車隊股份有","100","2896 / 9963","TW / TWD","−","02/23","−"
"02/12","優步－中華大車隊股份有","289","2896 / 9963","TW / TWD","−","02/23","−"
"02/12","ＴＡＰＰＡＹ＿小蜂鳥國","1,200","2896","TW / TWD","−","02/23","−"
"02/13","優食－Ｓｕｂｗａｙ大","245","2896 / 9963","TW / TWD","−","02/23","−"
"02/13","優食－秧米Ｙｕｍｅａ","688","2896 / 9963","TW / TWD","−","02/23","−"
"02/15","國外交易手續費 -SUBEAS","7","2896","−","−","03/17","−"
"02/15","SUBEASY.AI","480","2896 / 1495","HK / TWD","−","02/23","02/15"
"02/15","優食－秧米Ｙｕｍｅａ","688","2896 / 9963","TW / TWD","−","02/23","−"
"02/15","國外交易手續費 -ANTHRO","14","2896","−","−","03/17","−"
"02/15","ANTHROPIC","943","2896 / 3259","US / USD","30.00","02/23","02/15"
"02/16","全家便利商店－台中和美","29","2896 / 9963","TW / TWD","−","02/23","−"
"02/16","國外交易手續費 -APPLE.","13","2896","−","−","03/17","−"
"02/16","APPLE.COM/BILL","880","2896 / 9963","IE / TWD","−","02/23","02/17"
"02/17","國外交易手續費 -ANTHRO","9","2896","−","−","03/17","−"
"02/17","ANTHROPIC","629","2896 / 3259","US / USD","20.05","02/23","02/17"
"02/17","國外交易手續費 -TELLA","73","2896","−","−","03/17","−"
"02/17","TELLA","4,895","2896 / 1495","US / USD","156.00","02/23","02/17"
"02/18","國外交易手續費 -ANTHRO","10","2896","−","−","03/17","−"
"02/18","ANTHROPIC","641","2896 / 3259","US / USD","20.38","02/23","02/18"
"02/19","國外交易手續費 -ANTHRO","9","2896","−","−","03/17","−"
"02/19","ANTHROPIC","631","2896 / 3259","US / USD","20.03","02/23","02/19"
"02/20","優食－家ＳＵＫＩ","595","2896 / 9963","TW / TWD","−","02/23","−"
"02/20","國外交易手續費 -ANTHRO","10","2896","−","−","03/17","−"
"02/20","ANTHROPIC","635","2896 / 3259","US / USD","20.07","02/23","02/20"
"02/22","優食－家ＳＵＫＩ","548","2896 / 9963","TW / TWD","−","02/25","−"
"02/23","國外交易手續費 -SKOOL.","430","2896","−","−","03/17","−"
"02/23","SKOOL.COM","28,651","2896 / 9963","US / USD","909.02","02/25","02/23"
"02/23","國外交易手續費 -SKOOL.","454","2896","−","−","03/17","−"
"02/23","SKOOL.COM","30,274","2896 / 9963","US / USD","960.49","02/25","02/23"
"02/24","采盟股份有限公司精采分","400","2896 / 9963","TW / TWD","−","02/26","−"
"02/24","昇昌（股）公司桃園二","4,768","2896 / 9963","TW / TWD","−","02/26","−"
"02/24","國外交易手續費 -NARITA","8","2896","−","−","03/17","−"
"02/24","NARITA AIRPORT","556","2896 / 9963","JP / JPY","2,725.00","03/02","02/24"
"02/24","國外交易手續費 -ANTHRO","10","2896","−","−","03/17","−"
"02/24","ANTHROPIC","634","2896 / 3259","US / USD","20.14","02/26","02/24"
"02/24","統一超商－內鑫","170","2896 / 9963","TW / TWD","−","02/26","−"
"02/24","國外交易手續費 -NARITA","32","2896","−","−","03/17","−"
"02/24","NARITA AIRPORT","2,125","2896 / 9963","JP / JPY","10,400.00","03/02","02/24"
"02/24","國外交易手續費 -PRINCE","6","2896","−","−","03/17","−"
"02/24","PRINCE HOTELS","429","2896 / 9963","JP / JPY","2,100.00","03/02","02/24"
"02/25","國外交易手續費 -APPLE.","7","2896","−","−","03/17","−"
"02/25","APPLE.COM/BILL","455","2896 / 9963","IE / TWD","−","02/26","02/25"
"02/25","國外交易手續費 -PRINCE","4","2896","−","−","03/17","−"
"02/25","PRINCE HOTELS","280","2896 / 9963","JP / JPY","1,380.00","03/02","02/25"
"02/25","ＧｏｇｏｒｏＮｅｔｗ","499","2896","TW / TWD","−","03/03","−"
"02/25","國外交易手續費 -MOBILE","9","2896","−","−","03/17","−"
"02/25","MOBILE SUICA APPLE V","609","2896 / 9963","JP / JPY","3,000.00","03/02","02/25"
"02/25","國外交易手續費 -TOKIO","8","2896","−","−","03/17","−"
"02/25","TOKIO MARINE NICHIDO","535","2896","JP / JPY","2,650.00","03/06","03/05"
"02/25","國外交易手續費 -EDELWE","1","2896","−","−","03/17","−"
